Winner,Year,State,Democratic,Republican,Independent
dem,2012,Wisconsin,52.82776165,45.88549077,0
rep,2012,Wyoming,27.81888774,68.64262169,0
dem,2012,Washington DC,90.91311393,7.278291418,0
dem,2008,Nationwide,52.8618464,45.59871725,0
rep,2008,Alabama,38.74043429,60.31691303,0
rep,2008,Alaska,37.8893736,59.42451954,0
rep,2008,Arizona,44.91231588,53.39398864,0
rep,2008,Arkansas,38.86465977,58.7159045,0
dem,2008,California,60.91748832,36.89722723,0
dem,2008,Colorado,53.66035357,44.70730747,0
dem,2008,Connecticut,60.58885361,38.2214401,0
dem,2008,Delaware,61.91204413,36.9287667,0
dem,2008,Florida,50.90633324,48.09914068,0
rep,2008,Georgia,46.89849696,52.1026622,0
dem,2008,Hawaii,71.84611789,26.58168125,0
rep,2008,Idaho,35.90835503,61.20579418,0
dem,2008,Illinois,61.830693,36.72899195,0
dem,2008,Indiana,49.84437678,48.81447028,0
dem,2008,Iowa,53.92802007,44.39325936,0
rep,2008,Kansas,41.55107101,56.47511892,0
rep,2008,Kentucky,41.1463312,57.36865058,0
rep,2008,Louisiana,39.9329138,58.56272131,0
dem,2008,Maine,57.7057373,40.38401834,0
dem,2008,Maryland,61.91934476,36.47451965,0
dem,2008,Massachusetts,61.79991425,35.98926217,0
dem,2008,Michigan,57.32997166,40.88605251,0
dem,2008,Minnesota,54.0602927,43.82293104,0
rep,2008,Mississippi,42.99908755,56.17296632,0
rep,2008,Missouri,49.22691561,49.36016423,0
rep,2008,Montana,47.11496702,49.49406393,0
rep,2008,Nebraska,41.59826578,56.53185337,0
dem,2008,Nevada,55.14667592,42.65411511,0
dem,2008,New Hampshire,54.12689706,44.52142847,0
dem,2008,New Jersey,57.13668955,41.60530478,0
dem,2008,New Mexico,56.90748026,41.77903483,0
dem,2008,New York,62.88414736,36.02656372,0
dem,2008,North Carolina,49.70438126,49.37550875,0
rep,2008,North Dakota,44.50301821,53.15291215,0
dem,2008,Ohio,51.3829227,46.80005404,0
rep,2008,Oklahoma,34.35491888,65.64508112,0
dem,2008,Oregon,56.74880626,40.40098169,0
dem,2008,Pennsylvania,54.46556515,44.15087019,0
dem,2008,Rhode Island,62.86400461,35.05784647,0
rep,2008,South Carolina,44.89656002,53.87364398,0
rep,2008,South Dakota,44.74743111,53.15897637,0
rep,2008,Tennessee,41.79264115,56.84812577,0
rep,2008,Texas,43.62913186,55.38382483,0
rep,2008,Utah,34.16802573,62.1514584,0
dem,2008,Vermont,67.4556832,30.44922872,0
dem,2008,Virginia,52.62946987,46.33050069,0
dem,2008,Washington,57.34354187,40.25911968,0
rep,2008,West Virginia,42.49017302,55.58008902,0
dem,2008,Wisconsin,56.21778652,42.31366249,0
rep,2008,Wyoming,32.54089799,64.7762882,0
dem,2008,Washington DC,92.45710976,6.532557466,0
rep,2004,Nationwide,48.26278198,50.72587976,0
rep,2004,Alabama,36.84373721,62.45956222,0
rep,2004,Alaska,35.51686191,61.06532991,0
rep,2004,Arizona,44.31938463,54.77371681,0
rep,2004,Arkansas,44.54763045,54.30595908,0
dem,2004,California,54.30334542,44.35588908,0
rep,2004,Colorado,47.02216798,51.694272,0
dem,2004,Connecticut,54.31370897,43.94727791,0
dem,2004,Delaware,53.33546513,45.74306499,0
rep,2004,Florida,47.09111003,52.09751623,0
rep,2004,Georgia,41.34231669,57.92903636,0
dem,2004,Hawaii,54.00955216,45.26459571,0
rep,2004,Idaho,30.2613264,68.38283089,0
dem,2004,Illinois,54.82316021,44.47862683,0
rep,2004,Indiana,39.26297467,59.94476504,0
rep,2004,Iowa,49.23313168,49.90065751,0
rep,2004,Kansas,36.62309431,62.00398062,0
rep,2004,Kentucky,39.68271997,59.54298224,0
rep,2004,Louisiana,42.2158647,56.72202134,0
dem,2004,Maine,53.57285569,44.57645744,0
dem,2004,Maryland,55.91424566,42.93427936,0
dem,2004,Massachusetts,61.93542893,36.77768896,0
dem,2004,Michigan,51.23070673,47.81205856,0
dem,2004,Minnesota,51.08968469,47.61353379,0
rep,2004,Mississippi,39.75250897,59.44132284,0
rep,2004,Missouri,46.10044652,53.29619194,0
rep,2004,Montana,38.56408663,59.06670071,0
rep,2004,Nebraska,32.68216082,65.8986412,0
rep,2004,Nevada,47.87804052,50.46969155,0
dem,2004,New Hampshire,50.24227651,48.87390112,0
dem,2004,New Jersey,52.91687442,46.23310245,0
rep,2004,New Mexico,49.04667964,49.83842476,0
dem,2004,New York,58.36454069,40.07826618,0
rep,2004,North Carolina,43.58314622,56.01719734,0
rep,2004,North Dakota,35.49881247,62.86133496,0
rep,2004,Ohio,48.70667751,50.81405027,0
rep,2004,Oklahoma,34.42959834,65.57040166,0
dem,2004,Oregon,51.34866304,47.19291674,0
dem,2004,Pennsylvania,50.92380914,48.42366615,0
dem,2004,Rhode Island,59.42342623,38.67143713,0
rep,2004,South Carolina,40.90293189,57.98087444,0
rep,2004,South Dakota,38.44364592,59.91113172,0
rep,2004,Tennessee,42.51259472,56.81170324,0
rep,2004,Texas,38.22417794,61.08569088,0
rep,2004,Utah,25.99564151,71.53594785,0
dem,2004,Vermont,58.93746258,38.80131536,0
rep,2004,Virginia,45.4838985,53.68236353,0
dem,2004,Washington,52.77262255,45.59835315,0
rep,2004,West Virginia,43.19971107,56.06367089,0
dem,2004,Wisconsin,49.69971708,49.31987146,0
rep,2004,Wyoming,29.07471614,68.86184005,0
dem,2004,Washington DC,89.18386896,9.339766066,0
dem,2000,Nationwide,48.38447561,47.86525068,2.735040133
rep,2000,Alabama,41.58928487,56.46518402,1.097066696
rep,2000,Alaska,27.66633982,58.62095532,10.06688612
rep,2000,Arizona,44.6734367,50.95139667,2.975334933
rep,2000,Arkansas,45.86425626,51.3071977,1.455985749
dem,2000,California,53.44957111,41.65136766,3.818279211
rep,2000,Colorado,42.39358205,50.75012993,5.250708496
dem,2000,Connecticut,55.90962813,38.44360323,4.415957246
dem,2000,Delaware,54.96212098,41.90438982,2.535544011
rep,2000,Florida,48.8378212,48.84682657,1.634851613
rep,2000,Georgia,42.98476127,54.67181967,0.517251206
dem,2000,Hawaii,55.79166791,37.4628687,5.876597699
rep,2000,Idaho,27.63779826,67.16963604,2.450455623
dem,2000,Illinois,54.59634851,42.58474527,2.188028442
rep,2000,Indiana,41.01210293,56.6468816,0.842585511
dem,2000,Iowa,48.53564596,48.22064774,2.232808311
rep,2000,Kansas,37.23839226,58.04166325,3.365553209
rep,2000,Kentucky,41.37439313,56.50170608,1.501890639
rep,2000,Louisiana,44.87533245,52.55106317,1.159512385
dem,2000,Maine,49.08601647,43.97185099,5.695923856
dem,2000,Maryland,56.56841835,40.1779825,2.654580643
dem,2000,Massachusetts,59.80379462,32.50119128,6.421199682
dem,2000,Michigan,51.2772547,46.14392525,1.988441923
dem,2000,Minnesota,47.90557206,45.50235065,5.19525892
rep,2000,Mississippi,40.70292665,57.61534024,0.81674416
rep,2000,Missouri,47.08427335,50.42281596,1.632066213
rep,2000,Montana,33.3642338,58.43789614,5.945785492
rep,2000,Nebraska,33.25303901,62.24536203,3.52070747
rep,2000,Nevada,45.97566383,49.52214395,2.46448922
rep,2000,New Hampshire,46.80317916,48.07030985,3.900674948
dem,2000,New Jersey,56.12560892,40.29124386,2.966655016
dem,2000,New Mexico,47.90855405,47.8474119,3.550087286
dem,2000,New York,60.22081404,35.21612231,3.577684552
rep,2000,North Carolina,43.20092111,56.02941267,0
rep,2000,North Dakota,33.05407834,60.65626659,3.294515154
rep,2000,Ohio,46.46073697,49.96770771,2.504687642
rep,2000,Oklahoma,38.42690457,60.30785211,0
dem,2000,Oregon,46.95938898,46.51837587,5.042934403
dem,2000,Pennsylvania,50.59855053,46.42930489,2.10440659
dem,2000,Rhode Island,60.98770019,31.91179921,6.123506521
rep,2000,South Carolina,40.90536264,56.83184502,1.465481794
rep,2000,South Dakota,37.56422539,60.29677268,0
rep,2000,Tennessee,47.28489472,51.14915318,0.952758936
